name,class,year,week,weeks_since,show_count,current_overall_average,current_me_average,current_ve_average,current_m_average,current_v_average,last_show_overall_score,last_show_me_score,last_show_ve_score,last_show_m_score,last_show_v_score,overall score,me score,ve score,m score,v score,last_overall_jump,last_me_jump,last_ve_jump,last_m_jump,last_v_jump,last_2_overall_average,last_2_me_average,last_2_ve_average,last_2_m_average,last_2_v_average
Etiwanda HS,PSO,2014,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.55,34.3,33.35,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Etiwanda HS,PSO,2014,6,2,1,82.55,34.3,33.35,14.9,0.0,82.55,34.3,33.35,14.9,0.0,88.875,36.2,35.675,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fountain Valley HS,PSO,2014,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.55,31.2,33.25,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fountain Valley HS,PSO,2014,2,1,1,80.55,31.2,33.25,16.1,0.0,80.55,31.2,33.25,16.1,0.0,79.35,30.8,32.85,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fountain Valley HS,PSO,2014,5,3,2,79.95,31.0,33.05,15.9,0.0,79.35,30.8,32.85,15.7,0.0,81.55,32.0,33.15,16.4,0.0,-1.2,-0.4,-0.4,-0.4,0.0,79.95,31.0,33.05,15.9,0.0
Fountain Valley HS,PSO,2014,6,1,3,80.483,31.333,33.083,16.067,0.0,81.55,32.0,33.15,16.4,0.0,91.8,37.2,37.2,17.4,0.0,2.2,1.2,0.3,0.7,0.0,80.45,31.4,33.0,16.05,0.0
Granada Hills HS,PSO,2014,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.85,32.3,30.55,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granada Hills HS,PSO,2014,6,2,1,75.85,32.3,30.55,13.0,0.0,75.85,32.3,30.55,13.0,0.0,79.45,30.8,33.35,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Oak HS,PSO,2014,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.25,30.4,31.55,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Oak HS,PSO,2014,6,4,1,77.25,30.4,31.55,15.3,0.0,77.25,30.4,31.55,15.3,0.0,85.75,35.2,34.95,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irondale High School,PSO,2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.75,29.4,34.55,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irondale High School,PSO,2014,2,2,1,78.75,29.4,34.55,14.8,0.0,78.75,29.4,34.55,14.8,0.0,75.55,30.4,29.25,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irondale High School,PSO,2014,4,2,2,77.15,29.9,31.9,15.35,0.0,75.55,30.4,29.25,15.9,0.0,84.3,33.4,34.7,16.2,0.0,-3.2,1.0,-5.3,1.1,0.0,77.15,29.9,31.9,15.35,0.0
Irondale High School,PSO,2014,5,1,3,79.533,31.067,32.833,15.633,0.0,84.3,33.4,34.7,16.2,0.0,83.3,32.6,33.5,17.2,0.0,8.75,3.0,5.45,0.3,0.0,79.925,31.9,31.975,16.05,0.0
Lehi HS,PSO,2014,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.8,30.8,36.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lehi HS,PSO,2014,3,1,1,83.8,30.8,36.0,17.0,0.0,83.8,30.8,36.0,17.0,0.0,84.8,32.6,34.4,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lehi HS,PSO,2014,6,3,2,84.3,31.7,35.2,17.4,0.0,84.8,32.6,34.4,17.8,0.0,87.35,34.0,34.95,18.4,0.0,1.0,1.8,-1.6,0.8,0.0,84.3,31.7,35.2,17.4,0.0
Lehi HS,PSO,2014,9,3,3,85.317,32.467,35.117,17.733,0.0,87.35,34.0,34.95,18.4,0.0,89.55,35.4,36.05,18.1,0.0,2.55,1.4,0.55,0.6,0.0,86.075,33.3,34.675,18.1,0.0
Los Alamitos HS,PSO,2014,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.1,31.6,32.7,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Alamitos HS,PSO,2014,6,5,1,80.1,31.6,32.7,15.8,0.0,80.1,31.6,32.7,15.8,0.0,85.0,34.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pacifica HS,PSO,2014,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.05,30.4,29.75,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
